Кол-во проданных книг,Стоимость книги,Наличие,Тип книги
50,6.82,57,A
36,6.29,36,A
82,2.06,5,B
40,3.35,7,A
39,1.75,56,C
13,7.05,82,B
1,9.76,45,A
99,8.84,61,B
90,6.72,58,C
35,6.49,61,C
89,3.2,42,B
89,1.65,36,B
29,8.86,47,A
11,2.3,73,C
59,4.68,61,B
68,6.12,93,C
3,3.41,13,B
68,5.23,0,A
7,2.59,12,B
29,5.62,41,C
16,4.46,35,A
21,2.99,77,B
47,6.9,83,A
29,2.15,95,B
87,8.72,5,A
3,4.8,40,A
74,5.43,69,B
97,5.0,28,A
40,6.16,27,A
89,5.27,94,B
64,7.73,84,C
93,8.14,12,B
17,9.88,60,C
48,1.56,7,B
79,1.9,2,B
22,6.67,11,C
60,8.32,52,C
83,9.4,69,C
89,3.04,87,C
24,2.1,37,A
33,9.48,76,C
41,7.81,90,A
41,4.41,72,B
30,6.2,17,C
26,7.61,44,B
51,5.63,68,C
56,2.87,58,C
45,5.8,20,B
73,3.0,47,A
43,4.12,1,A
