Кол-во проданных книг,Стоимость книги,Наличие,Тип книги
87,2.87,74,C
80,9.54,32,B
14,4.45,63,B
8,3.63,15,A
80,4.14,2,B
97,3.28,75,A
13,6.81,95,A
39,7.0,76,A
96,7.89,84,B
51,5.14,18,A
92,2.55,95,C
41,1.97,68,B
46,5.44,54,A
60,4.66,38,A
18,6.59,65,B
74,3.08,22,A
77,8.25,39,B
96,7.27,43,A
44,9.51,34,C
85,2.53,50,A
80,4.9,56,A
16,3.39,19,C
52,4.76,35,C
68,2.39,42,C
39,8.91,55,C
64,3.32,8,B
0,7.98,63,A
19,9.07,34,A
13,1.81,72,C
12,4.34,69,A
32,6.71,47,B
96,5.24,5,A
1,3.09,80,C
7,2.51,64,A
14,1.75,2,A
100,9.82,84,C
40,6.09,26,A
98,2.18,94,A
36,9.56,91,C
26,2.53,68,B
90,4.77,67,C
27,2.04,74,C
64,6.71,38,C
67,9.8,35,B
21,1.99,71,A
97,5.09,32,A
52,4.47,1,C
22,5.46,16,A
12,7.81,17,C
60,5.28,31,A
